symbol;isin;name;sector;industry;country;qscore;qscorePerf;MKTCAP;REVPS5YGR;MARGIN5YR;Focf2Rev_AAvg5;ratings_CURR;ratings_1WA;VE/EBITDA;VE/CA;CAPI/TANG;PER;Rendement;Dette nette / EBITDA;Ratio courant;VE/FCF;%M200D;closePrice;quoteCurrency;En Solde;Juste Prix;NPRICE;L%H;priceCurrency;reportCurrency;EV2FCF_CurTTM;EV;TTMFCF;Net Income;NPMTRENDGR;Dette nette;shrOutstanding;EBITDA;PR1DAYPRC;PR5DAYPRC;ChPctPriceMTD;ChPctPrice5Y;YSymbol;businessSummary;AROE5YAVG;YLD+PRY;PDATE;qMKTCAP.USD;VOL10DAVG;EPSTRENDGR;EnSolde2;DCF;TTMFCFSHR;FOCF_AYr5CAGR;MKTCAP.USD;VOL10DUSD;TTMROAPCT;TTMROEPCT;roic;SctRoic;momentum
SEM;PTSEM0AM0004;SEMAPA SOCIEDADE DE INVESTIMENTO E GESTA;Basic Materials;Paper Products (NEC);Portugal (PRT);67;0;1909845000,0;2,5;11,3;8,0;;;7,9;1,4;1,9;12,0;0,0;2,9;1,2;0,0;14,0;23,9;EUR;-100,0;0,0;23,5;86,0;EUR;;;3088804300,0;88575820,0;67,9;-6,6;1142387000,0;79,9;390,6;0,4;3,3;1,3;14,6;SEM.LS;;14,6;14,6;2026-05-26T00:00:00;72;24710,0;-8,6;-100,0;0,0;1,1;-22,2;2222486626;687593,0;2,2;4,0;1,6;Default;8,0
FCP;PTFCP0AM0008;FUTEBOL CLUBE DO PORTO FUTEBOL SAD;Services;Professional Sports Venues;Portugal (PRT);64;0;73800000,0;11,4;3,1;-44,8;;;2,9;2,1;999,0;1,9;0,0;1,8;0,5;0,0;14,0;3,3;EUR;-100,0;0,0;3,3;72,0;EUR;;;329598000,0;-116296000,0;38,0;;206946000,0;22,5;112,4;-0,6;3,8;-3,0;35,1;FCP.LS;;;35,1;2026-05-26T00:00:00;29;1320,0;;-100,0;0,0;-5,2;;85881060;5038,0;8,4;;7,2;Default;0,0
SNC;PTSNC0AM0006;SONAECOM SGPS SA;Services;Newspaper Publishing;Portugal (PRT);61;0;927793300,0;-23,3;312,9;-181,7;;;999,0;37,8;0,7;15,0;2,4;0,0;14,4;18,7;1,0;3,0;EUR;17,0;3,6;3,0;70,0;EUR;;18,7;721987330,0;;59,5;27,2;-204900000,0;305,8;0,0;0,0;2,1;1,4;12,7;SNC.LS;;4,9;15,1;2026-05-27T00:00:00;64;2610,0;-2,9;-59,0;1,2;0,0;;1079673063;9216,0;4,0;4,4;-145,9;Default;1,0
RAM;PTFRV0AE0004;RAMADA INVESTIMENTOS E INDUSTRIA SA;Basic Materials;Iron & Steel (NEC);Portugal (PRT);59;0;173336300,0;-36,9;13,8;-17,2;;;20,8;17,0;1,7;20,6;8,5;0,0;2,8;0,0;-9,0;6,8;EUR;-26,0;5,0;6,8;0,0;EUR;;;173764950,0;;6,2;55,2;-1109850,0;25,6;8,3;-0,6;-0,9;-5,8;1,0;RAM.LS;;8,2;9,5;2026-05-26T00:00:00;40;1520,0;-2,1;-61,0;2,6;0,0;;201711452;11957,0;;;511,7;Default;0,0
SCB;PTSCB0AM0001;S.CLUBE BRAGA;Services;Professional Sports Venues;Portugal (PRT);56;0;26640000,0;9,6;35,9;-313,0;;;7,1;2,4;0,8;;0,0;3,1;0,5;0,0;38,0;20,2;EUR;-100,0;0,0;22,2;56,0;EUR;;;43540120,0;;-11,0;;19300120,0;1,2;6,2;0,0;-22,9;44,2;29,7;SCB.LS;;10,0;29,7;2026-05-22T00:00:00;18;0,0;;-100,0;0,0;0,0;;31000968;0,0;;;-5,5;Default;31,0
VAF;PTVAA0AM0019;VAA VISTA ALEGRE ATLANTIS SGPS SA;Capital Goods;Tools & Housewares;Portugal (PRT);53;0;181062100,0;5,5;3,5;5,1;;;9,2;1,8;2,1;44,0;0,0;2,7;1,5;59,1;2,0;1,1;EUR;-42,0;0,6;1,1;68,0;EUR;;59,1;257423100,0;6379000,0;4,1;;76361000,0;167,6;28,1;-0,9;1,9;-1,8;5,1;VAF.LS;;5,5;5,1;2026-05-27T00:00:00;42;4310,0;;-100,0;0,0;0,0;-0,7;210701965;5417,0;1,8;4,5;2,8;Default;0,0
PHR;PTPTC0AM0009;PHAROL SGPS SA;Services;Integrated Telecommunications Services (;Portugal (PRT);50;0;65893670,0;;;;;;999,0;999,0;0,6;35,9;0,0;0,0;8,4;32,2;2,0;0,1;EUR;20,0;0,1;0,1;60,0;EUR;;32,2;50921830,0;-1231580,0;1,7;;-14971840,0;821,8;0,0;-0,7;-0,9;-5,2;-6,7;PHR.LS;;4,5;-6,7;2026-05-27T00:00:00;26;619350,0;;-75,0;0,0;-0,0;;76680463;57789,0;1,8;1,8;3,9;telecom;3,0
RENE;PTREL0AM0008;REN REDES ENERGETICAS NACIONAIS SGPS SA;Utilities;Electric Utilities (NEC);Portugal (PRT);48;0;2395217000,0;7,9;16,8;4,1;;;9,3;4,4;999,0;13,1;4,4;4,6;0,4;36,6;5,0;3,5;EUR;-92,0;0,3;3,6;67,0;EUR;;36,6;4841964000,0;100800000,0;195,4;-1,3;2364551000,0;663,3;518,9;0,0;-0,1;-4,9;8,9;RENE.LS;;10,8;13,3;2026-05-26T00:00:00;75;531830,0;6,5;-100,0;0,0;0,2;-9,8;2787314022;2234819,0;3,7;12,5;5,2;utilities;3,0
MAR;PTMFR0AM0003;MARTIFER SGPS SA;Capital Goods;Construction & Engineering (NEC);Portugal (PRT);45;0;230000000,0;3,5;6,6;2,8;;;13,1;1,0;3,5;23,8;2,9;3,0;1,2;0,0;-5,0;2,3;EUR;-31,0;1,6;2,3;40,0;EUR;;;298852570,0;-57490830,0;9,5;3,7;68852560,0;97,8;22,9;-1,7;1,3;-8,7;36,5;MAR.LS;;33,4;39,4;2026-05-26T00:00:00;50;61630,0;8,5;-100,0;0,0;-0,6;;267651000;168691,0;2,8;12,2;4,9;Default;1,0
JMT;PTJMT0AE0001;JERONIMO MARTINS SGPS SA;Services;Supermarkets & Convenience Stores;Portugal (PRT);40;0;11818130000,0;13,3;2,1;2,4;;;26,4;0,4;4,8;17,9;2,3;5,8;0,6;18,7;-9,0;18,8;EUR;-100,0;0,0;18,8;15,0;EUR;EUR;18,7;15108130000,0;;119,0;1,8;3290000000,0;628,4;572,0;1,0;-0,8;-8,2;3,4;JMT.LS;;23,4;5,7;2026-05-27T00:00:00;88;915910,0;15,7;-37,0;11,8;0,0;6,4;13752757881;20043925,0;;;9,5;retail;0,0
